类别,日期,来源,用途,官方URL
年度报告,2021-04-02,伟星股份2020年年度报告,2020财务与产品底稿,https://static.cninfo.com.cn/finalpage/2021-04-02/1209625210.PDF
年度报告,2022-04-16,伟星股份2021年年度报告,2021财务与产品底稿,https://static.cninfo.com.cn/finalpage/2022-04-16/1212942128.PDF
年度报告,2023-03-22,伟星股份2022年年度报告,2022财务与产品底稿,https://static.cninfo.com.cn/finalpage/2023-03-22/1216181401.PDF
年度报告,2024-04-18,伟星股份2023年年度报告,2023财务与产品底稿,https://static.cninfo.com.cn/finalpage/2024-04-18/1219651995.PDF
年度报告,2025-03-29,伟星股份2024年年度报告,2024财务与产品底稿,https://static.cninfo.com.cn/finalpage/2025-03-29/1222942665.PDF
年度报告,2026-04-17,伟星股份2025年年度报告,2025财务/产品/行业/治理/风险,https://static.cninfo.com.cn/finalpage/2026-04-17/1225112913.PDF
季度报告,2026-04-28,伟星股份2026年一季度报告,最新利润与资产负债表,https://static.cninfo.com.cn/finalpage/2026-04-28/1225207349.PDF
权益分派,2026-05-12,伟星股份2025年度权益分派实施公告,实际分红与到账状态,https://static.cninfo.com.cn/finalpage/2026-05-12/1225292268.PDF
股东质押,2026-01-08,控股股东股份解除质押及再质押公告,最新质押比例,https://static.cninfo.com.cn/finalpage/2026-01-08/1224922498.PDF
股权激励,2025-09-27,伟星股份第六期股权激励计划,授予规模/价格/考核口径,https://static.cninfo.com.cn/finalpage/2025-09-27/1224684668.PDF
同行年报,2026-04-28,浔兴股份2025年年度报告,拉链业务收入/毛利率/跨境电商口径,https://static.cninfo.com.cn/finalpage/2026-04-28/1225208877.PDF
海外同行,2025,YKK This is YKK 2025,紧固件业务规模/全球覆盖/拉链销量,https://www.ykk.com/english/csr/eco/report/pdf/2025/this_is_YKK_2025_all_en.pdf
行情与估值,2026-07-20,东方财富RPT_VALUEANALYSIS_DET,股价市值PE/PB及历史估值,https://datacenter.eastmoney.com/securities/api/data/v1/get
股价历史,2026-07-20,Yahoo Finance 002003.SZ,前复权股价与利润趋势图,https://finance.yahoo.com/quote/002003.SZ/history
财务交叉验证,2026-07-21,同花顺002003_main_year.xls与main_simple.xls,年度与单季度利润/ROE/比率,本地导出文件
